"Invånare per kvadratkilometer efter region, kön och år"

"region","kön","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"01 Stockholms län","totalt",254.9,257.3,259.8,263.2,265.9,268.8,271.6,274.8,276.6,279.7,282.1,283.8,285.4,287.3,289.9,294.2,299.0,303.9,309.7,315.1,320.5,325.9,331.4,336.9,342.0,347.8,353.8,359.9,364.9
"03 Uppsala län","totalt",39.2,39.9,40.5,41.0,41.3,41.4,41.6,41.7,41.6,41.8,42.2,42.4,42.7,43.0,43.3,39.0,39.4,39.9,40.4,40.9,41.3,41.7,42.2,42.6,43.2,44.1,45.1,46.0,46.9
"04 Södermanlands län","totalt",42.4,42.5,42.8,42.9,42.7,42.5,42.4,42.3,41.9,42.0,42.1,42.4,42.7,42.8,42.9,43.1,43.5,43.8,44.1,44.4,44.9,45.2,45.7,46.2,46.7,47.4,48.0,48.5,49.0
"05 Östergötlands län","totalt",38.4,38.7,38.9,39.3,39.4,39.4,39.2,39.0,38.8,38.8,38.9,39.0,39.1,39.2,39.3,39.4,39.7,39.9,40.3,40.5,40.9,41.1,41.5,41.9,42.2,42.8,43.3,43.7,44.1
"06 Jönköpings län","totalt",31.2,31.2,31.3,31.4,31.5,31.4,31.3,31.3,31.2,31.2,31.2,31.2,31.3,31.4,31.5,31.6,31.8,31.9,32.0,32.1,32.4,32.4,32.7,33.0,33.3,33.8,34.2,34.6,34.8
"07 Kronobergs län","totalt",21.1,21.2,21.2,21.4,21.3,21.2,21.2,21.1,20.9,20.9,20.9,20.9,21.0,21.1,21.1,21.2,21.3,21.5,21.6,21.7,21.9,22.0,22.2,22.5,22.7,23.1,23.4,23.7,23.9
"08 Kalmar län","totalt",21.7,21.7,21.7,21.8,21.8,21.7,21.5,21.3,21.1,21.0,20.9,20.9,20.9,20.9,20.9,20.8,20.8,20.8,20.8,20.8,20.9,20.9,21.0,21.1,21.3,21.7,21.8,21.9,22.0
"09 Gotlands län","totalt",18.3,18.3,18.4,18.5,18.5,18.5,18.4,18.4,18.2,18.2,18.2,18.2,18.3,18.3,18.2,18.2,18.1,18.1,18.2,18.2,18.3,18.2,18.2,18.3,18.3,18.5,18.7,18.9,19.0
"10 Blekinge län","totalt",51.4,51.4,51.6,52.0,51.9,51.7,51.6,51.5,51.1,51.0,50.9,50.9,50.9,51.0,51.1,51.4,51.5,51.7,51.8,52.0,52.2,51.9,52.1,52.6,53.3,54.1,54.4,54.5,54.4
"12 Skåne län","totalt",97.8,98.5,99.2,100.3,100.8,101.1,101.3,101.6,101.8,102.3,103.0,103.8,104.5,105.2,106.0,107.3,108.7,110.1,111.6,112.7,114.2,115.1,116.2,117.5,118.9,120.8,122.6,124.2,125.7
"13 Hallands län","totalt",47.3,47.9,48.5,49.1,49.4,49.5,49.7,50.0,50.1,50.4,50.7,51.0,51.5,52.0,52.3,52.9,53.4,53.8,54.3,54.8,55.6,56.0,56.5,57.2,58.0,59.0,59.9,60.7,61.5
"14 Västra Götalands län","totalt",60.5,60.8,61.2,61.7,61.9,62.0,62.1,62.1,62.1,62.4,62.7,63.0,63.2,63.5,63.8,64.2,64.6,65.0,65.5,66.0,66.8,67.2,67.9,68.6,69.3,70.2,71.0,71.8,72.5
"17 Värmlands län","totalt",16.2,16.2,16.2,16.2,16.1,16.0,15.9,15.8,15.7,15.6,15.6,15.5,15.6,15.6,15.5,15.5,15.6,15.5,15.5,15.5,15.6,15.5,15.6,15.7,15.7,15.9,16.0,16.1,16.1
"18 Örebro län","totalt",32.1,32.2,32.3,32.5,32.5,32.4,32.3,32.2,32.0,32.0,32.0,32.0,32.1,32.1,32.1,32.2,32.3,32.5,32.6,32.8,33.1,33.2,33.6,33.9,34.2,34.7,35.1,35.5,35.8
"19 Västmanlands län","totalt",41.2,41.3,41.4,41.5,41.4,41.3,41.0,40.9,40.7,40.7,40.8,41.0,41.2,41.3,41.4,48.3,48.4,48.6,48.9,49.1,49.7,50.0,50.6,51.1,51.6,52.3,53.0,53.5,53.9
"20 Dalarnas län","totalt",10.3,10.3,10.3,10.3,10.3,10.2,10.1,10.0,10.0,9.9,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.9,9.8,9.9,10.0,10.0,10.2,10.2,10.2,10.3
"21 Gävleborgs län","totalt",15.9,15.9,15.9,15.9,15.9,15.8,15.6,15.5,15.4,15.3,15.3,15.2,15.2,15.2,15.2,15.1,15.1,15.2,15.2,15.2,15.2,15.2,15.3,15.5,15.6,15.7,15.8,15.8,15.9
"22 Västernorrlands län","totalt",12.1,12.0,12.0,12.0,11.9,11.8,11.7,11.6,11.5,11.4,11.3,11.3,11.3,11.3,11.2,11.3,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.3,11.3,11.4,11.4,11.4,11.4
"23 Jämtlands län","totalt",2.8,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7
"24 Västerbottens län","totalt",4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.9,4.9,4.9,5.0
"25 Norrbottens län","totalt",2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.6,2.5,2.6,2.6,2.6,2.6,2.6,2.6,2.6
